SPONTANEOUS: 自発的な
SPONTANEOUSLY: 自発的に
STABLE: 安定した
STARVATION: 飢餓
STEADY: 着実な
STERN: 厳格な
STING: 刺す
STRAIGHTFORWARD: 率直な
STRAIN: 負担
STRATEGY: 戦略
STROLL: ぶらぶらする
STUN: 唖然とさせる
STURDY: 頑健な
SUBLIME: 崇高な
SUBSIDIES: 補助金
SUBSIDIZE: 助成金を払う
SUBTLE: 微妙な
SUBTLY: 微妙に
SUCCINCT: 簡潔な
SUCCINCTLY: 簡潔に
SUFFER: 苦しむ
SUFFICIENT: 十分な
SUPPOSE: ～だと思う
SUPPRESS: 抑圧する
SURPASS: 上回る
SURRENDER: 降伏する
SUSPEND: 一時停止する
SYMBOL: 象徴
SYMPATHY: 同情
SYMPTOM: 症状
TACITLY: 暗黙のうちに
TACKLE: 取り組む
TACTFULLY: 巧みに
TAME: 飼い慣らされた
TANGIBLE: 明白な
TARIFF: 関税
TAX: 税金
TECHNOLOGY: 技術
TEMPER: 気性
TEMPORARY: 一時的な
TENACIOUS: 粘り強い
TEND: ～する傾向がある
TERM: 期間
TESTIMONY: 証言
THERAPY: 治療
THESIS: 論文
THOROUGH: 徹底的な
THOROUGHLY: 徹底的に
THREAT: 脅威
THREATEN: 脅かす
THROUGHOUT: ～の至る所で
THUS: したがって
TIGHTROPE: 綱渡り
TOKEN: しるし
TOLERANCE: 寛容
TOLERATE: 許容する
TORMENT: 苦しめる
TOWARD: ～の方へ
TRANSFORMATION: 変形
TRANSMIT: 送る
TRANSPARENCY: 透明性
TREMENDOUS: すさまじい
TRESPASS: 侵入する
TRIGGER: 引き起こす
TRIUMPH: 勝利
TUITION: 授業料
TYPICALLY: 典型的に
UNANIMOUS: 満場一致の
UNANIMOUSLY: 満場一致で
UNAWARE: 気づかない
UNDERGO: 経験する
UNEXPECTED: 予期しない
UNIFORM: 均一の
UNIVERSE: 宇宙
UNKNOWN: 未知の
UNLESS: もし～でなければ
UNLIKELY: ～しそうにない
UNPRECEDENTED: 前例のない
UNREST: 不安
UNUSUAL: 普通でない
UPHOLD: 支持する
URGENT: 緊急の
USELESS: 役に立たない
UTILIZE: 利用する
VALIDATION: 検証
VALUE: 尊重する
VANDALISM: 器物損壊
VANISH: 消える
VAST: 広大な
VEHEMENT: 猛烈な
VENTILATE: 換気する
VENUE: 会場
VERBAL: 言葉の
VIBRANT: 活気に満ちた
VIRTUALLY: 事実上
VIRTUOUS: 有徳な
VISIBLE: 目に見える
VITAL: 不可欠な
VIVID: 鮮やかな
VOCATION: 天職
VOID: 無効の
VOLUNTARY: 自発的な
VULNERABILITY: 脆弱性
VULNERABLE: 傷つきやすい
WARRANT: 令状
WEALTHY: 裕福な
WEARY: 疲れた
WHEREAS: ～である一方
WILLING: ～するのをいとわない
WITHDRAW: 引き出す
WITHER: しぼむ
WITHIN: ～以内に
WORTH: 価値がある
YIELD: 収穫
ZEALOUS: 熱心な
ZEALOUSLY: 熱心に
